ID,Age,Age_Group,Experience,Income,Income_Group,ZIP_Code,Family,CCAvg,Spending_Level,Education,Education_Level,Mortgage,Mortgage_Category,Personal_Loan,Personal_Loan_Status,Securities_Account,CD_Account,CD_Account_Status,Online,CreditCard
21,56,Senior,31,25,Low Income,94015,4,0.9,Low,2,graduate,111,Low Mortgage,0,Rejected,0,0,No,1,0
22,57,Senior,27,63,Middle Income,90095,3,2,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
23,29,Young,5,62,Middle Income,90277,1,1.2,Low,1,undergraduate,260,High Mortgage,0,Rejected,0,0,No,1,0
24,44,Middle Age,18,43,Low Income,91320,2,0.7,Low,1,undergraduate,163,High Mortgage,0,Rejected,1,0,No,0,0
25,36,Middle Age,11,152,High Income,95521,2,3.9,Middle,1,undergraduate,159,High Mortgage,0,Rejected,0,0,No,0,1
26,43,Middle Age,19,29,Low Income,94305,3,0.5,Low,1,undergraduate,97,Low Mortgage,0,Rejected,0,0,No,1,0
27,40,Middle Age,16,83,Middle Income,95064,4,0.2,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
28,46,Middle Age,20,158,High Income,90064,1,2.4,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
29,56,Senior,30,48,Low Income,94539,1,2.2,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
30,38,Middle Age,13,119,High Income,94104,1,3.3,Middle,2,graduate,0,No Mortgage,1,Accepted,0,1,Yes,1,1
31,59,Senior,35,35,Low Income,93106,1,1.2,Low,3,professional,122,Low Mortgage,0,Rejected,0,0,No,1,0
32,40,Middle Age,16,29,Low Income,94117,1,2,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
33,53,Senior,28,41,Low Income,94801,2,0.6,Low,3,professional,193,High Mortgage,0,Rejected,0,0,No,0,0
34,30,Middle Age,6,18,Low Income,91330,3,0.9,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
35,31,Middle Age,5,50,Middle Income,94035,4,1.8,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
36,48,Middle Age,24,81,Middle Income,92647,3,0.7,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
37,59,Senior,35,121,High Income,94720,1,2.9,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
38,51,Senior,25,71,Middle Income,95814,1,1.4,Low,3,professional,198,High Mortgage,0,Rejected,0,0,No,0,0
39,42,Middle Age,18,141,High Income,94114,3,5,High,3,professional,0,No Mortgage,1,Accepted,1,1,Yes,1,0
40,38,Middle Age,13,80,Middle Income,94115,4,0.7,Low,3,professional,285,High Mortgage,0,Rejected,0,0,No,1,0
41,57,Senior,32,84,Middle Income,92672,3,1.6,Low,3,professional,0,No Mortgage,0,Rejected,1,0,No,0,0
42,34,Middle Age,9,60,Middle Income,94122,3,2.3,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
43,32,Middle Age,7,132,High Income,90019,4,1.1,Low,2,graduate,412,High Mortgage,1,Accepted,0,0,No,1,0
44,39,Middle Age,15,45,Low Income,95616,1,0.7,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
45,46,Middle Age,20,104,High Income,94065,1,5.7,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
46,57,Senior,31,52,Middle Income,94720,4,2.5,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
47,39,Middle Age,14,43,Low Income,95014,3,0.7,Low,2,graduate,153,High Mortgage,0,Rejected,0,0,No,1,0
48,37,Middle Age,12,194,High Income,91380,4,0.2,Low,3,professional,211,High Mortgage,1,Accepted,1,1,Yes,1,1
49,56,Senior,26,81,Middle Income,95747,2,4.5,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,1
50,40,Middle Age,16,49,Low Income,92373,1,1.8,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
51,32,Middle Age,8,8,Low Income,92093,4,0.7,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,1,0
52,61,Senior,37,131,High Income,94720,1,2.9,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
53,30,Middle Age,6,72,Middle Income,94005,1,0.1,Low,1,undergraduate,207,High Mortgage,0,Rejected,0,0,No,0,0
54,50,Senior,26,190,High Income,90245,3,2.1,Middle,3,professional,240,High Mortgage,1,Accepted,0,0,No,1,0
55,29,Young,5,44,Low Income,95819,1,0.2,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
56,41,Middle Age,17,139,High Income,94022,2,8,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
57,55,Senior,30,29,Low Income,94005,3,0.1,Low,2,graduate,0,No Mortgage,0,Rejected,1,1,Yes,1,0
58,56,Senior,31,131,High Income,95616,2,1.2,Low,3,professional,0,No Mortgage,1,Accepted,0,0,No,0,0
59,28,Young,2,93,Middle Income,94065,2,0.2,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
60,31,Middle Age,5,188,High Income,91320,2,4.5,Middle,1,undergraduate,455,High Mortgage,0,Rejected,0,0,No,0,0
61,49,Middle Age,24,39,Low Income,90404,3,1.7,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,1,0
62,47,Middle Age,21,125,High Income,93407,1,5.7,High,1,undergraduate,112,Low Mortgage,0,Rejected,1,0,No,0,0
63,42,Middle Age,18,22,Low Income,90089,1,1,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
64,42,Middle Age,17,32,Low Income,94523,4,0,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
65,47,Middle Age,23,105,High Income,90024,2,3.3,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
66,59,Senior,35,131,High Income,91360,1,3.8,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
67,62,Senior,36,105,High Income,95670,2,2.8,Middle,1,undergraduate,336,High Mortgage,0,Rejected,0,0,No,0,0
68,53,Senior,23,45,Low Income,95123,4,2,Middle,3,professional,132,Low Mortgage,0,Rejected,1,0,No,0,0
69,47,Middle Age,21,60,Middle Income,93407,3,2.1,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
70,53,Senior,29,20,Low Income,90045,4,0.2,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
71,42,Middle Age,18,115,High Income,91335,1,3.5,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
72,53,Senior,29,69,Middle Income,93907,4,1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
73,44,Middle Age,20,130,High Income,92007,1,5,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
74,41,Middle Age,16,85,Middle Income,94606,1,4,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
75,28,Young,3,135,High Income,94611,2,3.3,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
76,31,Middle Age,7,135,High Income,94901,4,3.8,Middle,2,graduate,0,No Mortgage,1,Accepted,0,1,Yes,1,1
77,58,Senior,32,12,Low Income,91320,3,0.3,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
78,46,Middle Age,20,29,Low Income,92220,3,0.5,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
79,54,Senior,30,133,High Income,93305,2,2.6,Middle,3,professional,0,No Mortgage,1,Accepted,0,0,No,0,0
80,50,Senior,26,19,Low Income,94720,2,0.4,Low,1,undergraduate,118,Low Mortgage,0,Rejected,0,0,No,1,0
81,60,Senior,36,41,Low Income,95134,4,1.3,Low,1,undergraduate,174,High Mortgage,0,Rejected,0,0,No,1,1
82,47,Middle Age,22,40,Low Income,94612,3,2.7,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
83,41,Middle Age,16,82,Middle Income,92507,1,4,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
84,33,Middle Age,9,50,Middle Income,94305,1,2.4,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
85,46,Middle Age,22,18,Low Income,91730,1,0.9,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
86,27,Young,2,109,High Income,94005,4,1.8,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
87,40,Middle Age,16,42,Low Income,94501,4,2.2,Middle,2,graduate,126,Low Mortgage,0,Rejected,0,0,No,0,0
88,48,Middle Age,22,78,Middle Income,94305,3,1.1,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
89,65,Senior,41,51,Middle Income,94117,2,1.1,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
90,25,Young,1,113,High Income,94303,4,2.3,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,1
91,55,Senior,30,118,High Income,90277,4,5.6,High,2,graduate,0,No Mortgage,1,Accepted,0,0,No,1,0
92,35,Middle Age,10,29,Low Income,94105,4,1.1,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
93,43,Middle Age,19,34,Low Income,94305,3,0.6,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
94,60,Senior,34,64,Middle Income,94550,2,1.7,Low,3,professional,236,High Mortgage,0,Rejected,1,0,No,1,0
95,65,Senior,39,121,High Income,92612,1,2,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
96,38,Middle Age,12,48,Low Income,95617,4,0.2,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
97,41,Middle Age,15,80,Middle Income,95014,1,5.2,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
98,54,Senior,28,161,High Income,92121,1,2.9,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
99,49,Middle Age,23,94,Middle Income,92374,1,0.3,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
100,66,Senior,41,15,Low Income,91711,3,0.1,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
101,48,Middle Age,23,74,Middle Income,94080,1,1.2,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
102,61,Senior,36,30,Low Income,94608,3,1.3,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
103,53,Senior,23,44,Low Income,93555,3,1,Low,3,professional,198,High Mortgage,0,Rejected,0,0,No,1,1
104,43,Middle Age,18,22,Low Income,95670,2,0.3,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
105,56,Senior,32,38,Low Income,93311,4,1.3,Low,1,undergraduate,166,High Mortgage,0,Rejected,0,0,No,1,1
106,24,Young,0,35,Low Income,94704,3,0.1,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,1,0
107,43,Middle Age,17,69,Middle Income,92717,4,2.9,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
108,42,Middle Age,18,43,Low Income,92037,1,0.7,Low,1,undergraduate,136,Low Mortgage,0,Rejected,0,0,No,0,0
109,33,Middle Age,7,32,Low Income,95136,1,0.6,Low,3,professional,166,High Mortgage,0,Rejected,0,0,No,1,0
110,43,Middle Age,17,49,Low Income,94542,1,2.8,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
111,41,Middle Age,14,9,Low Income,91330,3,1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
112,62,Senior,38,45,Low Income,94143,4,1.3,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
113,40,Middle Age,15,82,Middle Income,91775,3,1,Low,1,undergraduate,309,High Mortgage,0,Rejected,0,0,No,0,0
114,58,Senior,34,92,Middle Income,92703,2,2.8,Middle,1,undergraduate,103,Low Mortgage,0,Rejected,0,0,No,0,0
115,39,Middle Age,14,39,Low Income,92354,3,0.5,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
116,65,Senior,40,81,Middle Income,92024,3,1.8,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
117,54,Senior,29,35,Low Income,92831,1,1.5,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
118,58,Senior,33,61,Middle Income,92833,2,2.3,Middle,3,professional,193,High Mortgage,0,Rejected,0,0,No,1,0
119,41,Middle Age,16,73,Middle Income,92647,3,3,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
120,32,Middle Age,7,112,High Income,94304,1,4.6,Middle,1,undergraduate,366,High Mortgage,0,Rejected,0,0,No,0,0
121,54,Senior,29,12,Low Income,90057,2,0.2,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
122,52,Senior,26,38,Low Income,91711,3,0.9,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
123,58,Senior,32,73,Middle Income,94523,2,0.7,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,1
124,37,Middle Age,13,84,Middle Income,92130,1,3.6,Middle,2,graduate,0,No Mortgage,0,Rejected,1,0,No,0,0
125,39,Middle Age,15,78,Middle Income,92121,4,2.4,Middle,1,undergraduate,118,Low Mortgage,0,Rejected,0,0,No,1,0
126,60,Senior,35,80,Middle Income,91301,3,0.5,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
127,31,Middle Age,5,115,High Income,92096,2,1.3,Low,1,undergraduate,101,Low Mortgage,0,Rejected,0,0,No,1,1
128,34,Middle Age,8,82,Middle Income,92646,1,2.7,Middle,2,graduate,251,High Mortgage,0,Rejected,0,0,No,1,0
129,38,Middle Age,14,74,Middle Income,92182,2,0,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,1,0
130,41,Middle Age,16,70,Middle Income,92131,3,0.5,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,1
131,28,Young,4,81,Middle Income,94801,3,1.5,Low,1,undergraduate,276,High Mortgage,0,Rejected,0,0,No,1,0
132,58,Senior,34,149,High Income,93720,4,7.2,High,2,graduate,0,No Mortgage,1,Accepted,0,1,Yes,1,1
133,31,Middle Age,1,51,Middle Income,90840,2,1.75,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
134,30,Middle Age,4,39,Low Income,90245,3,1.1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
135,53,Senior,29,98,Middle Income,95035,3,1.8,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
136,58,Senior,33,45,Low Income,93010,4,2.1,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
137,59,Senior,32,49,Low Income,95035,4,2.5,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
138,49,Middle Age,25,128,High Income,95054,2,0.4,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
139,59,Senior,34,42,Low Income,94928,3,1.5,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,1,Yes,0,1
140,59,Senior,35,18,Low Income,93305,1,1.2,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
141,51,Senior,25,31,Low Income,90245,2,0.4,Low,3,professional,161,High Mortgage,0,Rejected,0,0,No,1,1
142,35,Middle Age,11,58,Middle Income,95831,3,2,Middle,1,undergraduate,149,Low Mortgage,0,Rejected,0,0,No,1,1
143,33,Middle Age,9,48,Low Income,91770,1,2.1,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,1
144,25,Young,1,54,Middle Income,94117,4,1.6,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
145,49,Middle Age,23,70,Middle Income,92093,2,1.5,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
146,59,Senior,35,124,High Income,90007,1,7.4,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
147,46,Middle Age,19,84,Middle Income,94102,1,2.67,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,1
148,50,Senior,25,83,Middle Income,94542,4,3.6,Middle,3,professional,188,High Mortgage,0,Rejected,0,0,No,1,0
149,52,Senior,28,163,High Income,91423,2,0.4,Low,1,undergraduate,116,Low Mortgage,0,Rejected,0,0,No,1,0
150,48,Middle Age,22,42,Low Income,93955,3,2.2,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
151,46,Middle Age,22,118,High Income,94107,2,7.5,High,1,undergraduate,0,No Mortgage,0,Rejected,0,1,Yes,1,1
152,26,Young,0,132,High Income,92834,3,6.5,High,3,professional,0,No Mortgage,1,Accepted,0,0,No,0,1
153,57,Senior,32,24,Low Income,93117,1,1.3,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
154,60,Senior,36,22,Low Income,94551,2,1,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,1,Yes,1,1
155,54,Senior,29,58,Middle Income,92612,4,1.3,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,0
156,24,Young,0,60,Middle Income,94596,4,1.6,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
157,26,Young,0,15,Low Income,92131,4,0.4,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
158,41,Middle Age,17,83,Middle Income,94025,4,2.67,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
159,32,Middle Age,6,79,Middle Income,94720,2,1.5,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
160,61,Senior,35,41,Low Income,94545,4,1.7,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,1,0
161,29,Young,0,134,High Income,95819,4,6.5,High,3,professional,0,No Mortgage,1,Accepted,0,0,No,0,0
162,61,Senior,35,80,Middle Income,95053,2,2.8,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
163,38,Middle Age,12,52,Middle Income,90036,1,2,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
164,28,Young,4,70,Middle Income,91125,4,2.6,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
165,53,Senior,27,92,Middle Income,95120,2,1.1,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,0,0
166,27,Young,1,43,Low Income,94706,1,1.5,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
167,25,Young,1,21,Low Income,95827,3,1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
168,33,Middle Age,9,23,Low Income,94305,3,0.9,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
169,50,Senior,26,13,Low Income,91320,4,1,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
170,27,Young,1,112,High Income,90503,4,2.1,Middle,3,professional,0,No Mortgage,0,Rejected,0,0,No,0,1
171,27,Young,1,138,High Income,90250,2,2,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
172,52,Senior,28,11,Low Income,95817,3,0.4,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,0,0
173,38,Middle Age,13,171,High Income,92717,2,7.8,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
174,58,Senior,34,42,Low Income,90095,4,1.5,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
175,42,Middle Age,17,168,High Income,95503,2,7.9,High,2,graduate,0,No Mortgage,1,Accepted,0,0,No,1,0
176,45,Middle Age,20,85,Middle Income,91711,4,1.1,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,1,0
177,52,Senior,25,44,Low Income,93111,3,1,Low,2,graduate,135,Low Mortgage,0,Rejected,0,0,No,1,0
178,29,Young,3,65,Middle Income,94132,4,1.8,Low,2,graduate,244,High Mortgage,0,Rejected,0,0,No,0,0
179,53,Senior,29,24,Low Income,95818,4,0.2,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
180,62,Senior,37,11,Low Income,91942,1,0.1,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
181,51,Senior,27,38,Low Income,90401,2,1,Low,3,professional,164,High Mortgage,0,Rejected,0,0,No,1,0
182,36,Middle Age,12,10,Low Income,93524,4,0.7,Low,2,graduate,81,Low Mortgage,0,Rejected,0,0,No,0,0
183,24,Young,0,135,High Income,95133,1,1.5,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
184,29,Young,3,148,High Income,92173,3,4.1,Middle,1,undergraduate,0,No Mortgage,1,Accepted,0,0,No,1,0
185,52,Senior,26,63,Middle Income,92717,2,1.5,Low,2,graduate,0,No Mortgage,0,Rejected,1,0,No,1,0
186,39,Middle Age,14,115,High Income,91320,1,1,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
187,48,Middle Age,23,45,Low Income,95616,1,0.3,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
188,46,Middle Age,21,159,High Income,94305,3,1.9,Low,3,professional,315,High Mortgage,1,Accepted,0,0,No,1,0
189,64,Senior,40,169,High Income,91320,2,2.1,Middle,1,undergraduate,122,Low Mortgage,0,Rejected,0,0,No,1,0
190,55,Senior,29,112,High Income,94043,2,1.4,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
191,60,Senior,36,93,Middle Income,92521,1,4.3,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
192,51,Senior,25,29,Low Income,90404,1,0.3,Low,3,professional,140,Low Mortgage,0,Rejected,0,0,No,0,0
193,50,Senior,23,85,Middle Income,92122,1,2.67,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
194,48,Middle Age,24,21,Low Income,93118,4,0.6,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
195,53,Senior,29,144,High Income,92697,2,6.8,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
196,34,Middle Age,10,13,Low Income,94577,4,1,Low,1,undergraduate,95,Low Mortgage,0,Rejected,1,0,No,1,0
197,48,Middle Age,24,165,High Income,93407,1,5,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,1
198,55,Senior,31,9,Low Income,91345,4,0.7,Low,1,undergraduate,89,Low Mortgage,0,Rejected,0,0,No,1,0
199,27,Young,3,59,Middle Income,94123,4,0,Low,1,undergraduate,90,Low Mortgage,0,Rejected,1,0,No,1,0
200,36,Middle Age,11,158,High Income,92152,1,5.1,High,3,professional,0,No Mortgage,1,Accepted,0,1,Yes,1,1
201,32,Middle Age,6,29,Low Income,91355,1,1.9,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
202,35,Middle Age,9,20,Low Income,94609,2,1.4,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,1
203,30,Middle Age,3,68,Middle Income,94306,4,2,Middle,2,graduate,0,No Mortgage,0,Rejected,0,0,No,1,0
204,58,Senior,34,65,Middle Income,95747,4,2.2,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
205,56,Senior,31,61,Middle Income,96150,2,1.9,Low,2,graduate,105,Low Mortgage,0,Rejected,0,0,No,0,0
206,38,Middle Age,12,91,Middle Income,95616,4,1.4,Low,2,graduate,100,Low Mortgage,0,Rejected,0,0,No,0,1
207,49,Middle Age,25,31,Low Income,91355,1,1,Low,1,undergraduate,0,No Mortgage,0,Rejected,1,0,No,1,0
208,34,Middle Age,10,71,Middle Income,94115,4,0.1,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
209,40,Middle Age,16,73,Middle Income,94110,4,2.67,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,1
210,64,Senior,39,172,High Income,94707,4,3.1,Middle,1,undergraduate,282,High Mortgage,1,Accepted,0,1,Yes,1,1
211,51,Senior,26,20,Low Income,92131,2,0,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
212,44,Middle Age,18,55,Middle Income,94720,1,0.2,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
213,46,Middle Age,22,69,Middle Income,91604,2,1.7,Low,1,undergraduate,209,High Mortgage,0,Rejected,0,0,No,0,0
214,57,Senior,33,155,High Income,91326,1,7.4,High,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,1,0
215,54,Senior,28,94,Middle Income,90291,1,1.9,Low,2,graduate,0,No Mortgage,0,Rejected,0,0,No,0,0
216,38,Middle Age,14,92,Middle Income,95818,2,0,Low,1,undergraduate,249,High Mortgage,0,Rejected,0,0,No,1,1
217,27,Young,3,125,High Income,95521,2,0.6,Low,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
218,39,Middle Age,14,74,Middle Income,94305,3,3,Middle,1,undergraduate,0,No Mortgage,0,Rejected,0,0,No,0,0
219,44,Middle Age,20,72,Middle Income,92807,3,0.3,Low,3,professional,0,No Mortgage,0,Rejected,0,0,No,1,0
